objId,type,ra,dec,u,g,r,i,z
5.87739E+17,GALAXY,186.0892895,15.35888705,18.941378,17.864389,17.475094,17.179287,16.991058
5.87739E+17,GALAXY,186.4955325,15.27722083,19.375105,17.648409,17.152679,16.911259,16.869034
5.87739E+17,GALAXY,187.2551093,15.39483897,18.31319,17.342115,17.109304,16.84428,16.745035
5.87739E+17,GALAXY,188.0399324,15.30092587,17.50712,15.966208,15.328954,14.975395,14.860735
5.87739E+17,GALAXY,185.8334368,15.82035685,16.044546,14.316055,13.640053,13.289037,13.249557
5.87739E+17,GALAXY,186.267663,15.71129588,18.633657,16.997934,16.448788,16.14934,16.1875
5.87739E+17,GALAXY,186.4964365,15.67096286,14.789511,13.509731,13.095662,12.808371,13.292167
5.87739E+17,GALAXY,186.4017852,15.82981129,16.517273,14.935252,14.346322,14.028853,13.984218
5.87739E+17,GALAXY,186.8948803,15.73946438,19.290197,17.912468,17.364553,17.048813,16.922543
5.87739E+17,GALAXY,187.6416031,15.64214468,18.748409,17.612558,17.253471,17.009752,16.890036
5.87739E+17,GALAXY,187.751082,15.73075262,17.053747,15.584566,15.053897,14.747622,14.690013
5.87739E+17,GALAXY,186.1951366,16.19885507,18.149773,16.509352,15.79878,15.448336,15.177273
5.87739E+17,GALAXY,186.251396,16.07065196,19.119839,18.100433,17.703012,17.441563,17.277157
5.87739E+17,GALAXY,186.3022942,16.09334419,17.762728,16.127975,15.337317,14.930662,14.621543
5.87739E+17,GALAXY,186.3093398,16.12031088,17.115885,15.587612,14.861036,14.474909,14.171023
5.87739E+17,GALAXY,186.354628,16.12418039,16.511534,14.574807,13.658961,13.219951,12.886519
5.87739E+17,GALAXY,186.5297614,16.18099487,14.272909,12.842307,12.185828,11.826246,11.60468
