objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,z
588848899901554734,18.915,18.796,18.647,18.586,18.724,1.398
588848899364683838,18.114,17.899,17.802,17.605,17.673,1.51
588848899364618294,19.516,19.005,18.955,18.939,18.705,2.283
587728948512686225,21.17,20.157,20.062,20.084,19.694,2.625
588848899901423689,19.028,18.466,18.106,18.029,17.437,0.345
588848899901489310,19.487,17.568,16.615,16.09,15.757,0.061
588848899364487258,19.181,19.147,19.046,18.716,18.681,1.827
588848899901423629,19.083,19.067,18.788,18.634,18.072,0.337
588848900438163790,24.453,21.814,19.7,19.265,18.985,4.403
587728949049032848,20.447,20.075,20.003,19.891,19.731,0.749
588848900438032487,19.535,19.099,18.277,17.744,17.5,0.204
587728950123036720,19.104,18.782,18.597,18.384,18.343,1.571
587728949049360423,18.652,18.038,18.065,17.968,17.802,2.288
587728949049294963,18.9,18.607,18.683,18.542,18.08,0.417
587728949049294940,18.972,18.817,18.625,18.447,18.444,1.483
587728950123036783,18.855,18.552,18.337,18.318,18.198,0.879
588848900438229043,19.595,19.241,18.629,18.106,17.852,0.189
587728949586166010,21.089,19.882,19.075,18.825,18.462,1.013
588848900438294543,19.006,18.884,18.824,18.62,18.357,2.09
588848900438360151,18.877,18.722,18.264,18.021,17.589,0.278
588848899901554746,19.738,19.522,19.289,19.328,19.428,0.979
588848900438425936,24.868,21.644,20.203,20.069,19.886,3.826
588848900975362196,21.734,20.676,20.252,19.654,19.367,1.743
587728950123298937,22.306,20.633,20.169,19.705,19.344,2.797
588848900438622316,19.584,19.335,19.208,19.03,18.972,1.455
587728949049753771,19.951,19.578,19.307,18.851,18.648,0.463
587728949049819359,24.195,22.512,20.533,19.825,19.388,4.207
588848901512298602,21.454,20.405,20.25,20.087,19.562,2.471
588848900975689785,19.775,19.493,19.345,19.039,18.778,2.11
588848900975689761,19.682,19.392,19.318,19.115,19.179,1.524
588848900438884423,19.394,19.298,19.136,19.09,19.095,1.373
587728947439927299,18.149,18.058,17.962,18.016,17.385,0.344
587728947976994984,20.157,19.548,19.124,18.7,18.779,1.541
587728948513931274,19.937,19.718,19.141,18.673,18.544,0.223
588848899365863695,20.152,19.667,18.911,18.45,18.175,0.198
588848898828664922,19.282,19.125,18.792,18.767,18.205,0.283
588848898828599376,18.473,18.363,18.281,17.983,17.927,1.771
587728949050540060,19.422,19.153,18.893,18.843,18.637,0.952
588848898828468282,19.037,18.348,18.293,18.236,17.945,2.554
587728947976536239,19.763,19.395,18.954,18.505,18.467,0.634
588848898828599428,20.469,20.204,19.937,19.904,19.728,0.937
587728947976536183,19.096,18.688,18.699,18.507,18.438,0.552
587728948513603609,19.121,18.758,18.578,18.532,18.344,0.856
587728947976339625,19.592,19.502,19.221,19.254,19.385,1.089
587728948513472649,20.095,19.702,19.295,18.904,18.597,0.452
588848899902341190,19.368,19.17,18.958,18.596,18.542,1.898
588848899902275656,19.455,19.042,18.74,18.746,18.707,0.989
587728948513407055,18.984,18.728,18.361,18.317,17.756,0.321
587728948513407077,17.524,17.358,17.15,16.938,16.923,1.498
588848899902210211,22.375,21.037,20.473,19.95,19.195,2.191
588848899902079040,19.985,19.435,19.237,19.174,18.89,2.286
