objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroR50_r,petroR90_r,specobjid,specClass,redshift,plate,mjd,fiberid
587722982298222616,228.53714348,-0.68903513,18.63662,17.398239,16.89323,16.608036,16.365599,752,40,2,568,4.304275,10.347136,87760617271721984,2,0.037287,311,51665,7
587722982298222873,228.57016046,-0.7014877,19.149916,18.057331,17.626003,17.304121,17.156382,752,40,2,568,1.899484,3.783021,87760617250750464,2,0.115335,311,51665,2
587722982298288470,228.7671775,-0.78981153,18.574066,16.211855,15.088859,14.626697,14.226028,752,40,2,569,5.824138,16.506207,88042196632076288,2,0.120581,312,51689,318
587722982298353737,228.89151243,-0.64065515,19.499912,17.676645,16.75934,16.268946,15.927283,752,40,2,570,3.59081,9.447622,88042196426555392,2,0.115712,312,51689,269
587722982298353824,228.83068487,-0.67232767,19.494328,17.479908,16.480488,16.028254,15.659693,752,40,2,570,2.80688,8.476942,88042196418166784,2,0.092308,312,51689,267
587722982298419560,229.05288572,-0.80101527,19.43152,17.317629,16.222919,15.729695,15.288898,752,40,2,571,2.874618,8.491156,88042196296531968,2,0.118163,312,51689,238
587722982298419596,229.06126061,-0.81969556,19.390465,17.156317,15.982283,15.442747,14.997067,752,40,2,571,3.199305,9.595761,88042196212645888,2,0.117456,312,51689,218
587722982298419680,229.10657907,-0.67688611,19.355639,17.907049,17.131052,16.682365,16.38468,752,40,2,571,2.253571,4.824335,88042196304920576,2,0.117641,312,51689,240
587722982298484915,229.12461398,-0.65648757,18.724407,17.358662,16.435762,16.017351,15.750634,752,40,2,572,4.494552,10.543215,88042196057456640,2,0.116452,312,51689,181
587722982298484981,229.16742107,-0.77407611,19.249462,18.024456,17.145718,16.684996,16.40612,752,40,2,572,3.679621,7.731677,88042196082622464,2,0.20644,312,51689,187
587722982298550693,229.34532963,-0.67158894,19.568497,18.500364,17.917248,17.502399,17.282801,752,40,2,573,1.614973,3.699349,88042195986153472,2,0.118123,312,51689,164
587722982298550715,229.35068435,-0.73817184,19.471106,17.308325,16.229744,15.767824,15.375227,752,40,2,573,2.323853,7.207466,88042196007124992,2,0.115488,312,51689,169
587722982298550764,229.36880278,-0.66487471,19.510895,18.337919,17.66835,17.205173,16.98171,752,40,2,573,1.432936,3.486622,88042195889684480,2,0.118949,312,51689,141
587722982298615914,229.46487887,-0.79321173,17.82329,16.007574,15.165384,14.730419,14.410955,752,40,2,574,3.249807,10.341171,88042195910656000,2,0.037209,312,51689,146
587722982298616131,229.44368389,-0.77612454,17.610973,16.221079,15.527697,15.146018,14.929721,752,40,2,574,6.8939,12.781577,88042195960987648,2,0.036966,312,51689,158
587722982298616261,229.54426595,-0.82233665,19.08506,17.798603,17.019676,16.609064,16.278015,752,40,2,574,2.617906,5.504332,88042195549945856,2,0.118357,312,51689,60
587722982298681793,229.71560065,-0.6601917,19.00564,17.719501,17.031588,16.601563,16.314159,752,40,2,575,2.631281,6.091998,88042195742883840,2,0.069875,312,51689,106
587722982298747167,229.75277496,-0.75090769,19.400869,18.076975,17.321314,16.922689,16.618088,752,40,2,576,2.776261,5.233082,88042195734495232,2,0.098155,312,51689,104
587722982298747199,229.77296804,-0.70995394,19.168373,18.161852,17.734871,17.412512,17.402197,752,40,2,576,2.885516,5.866247,88042195738689536,2,0.076371,312,51689,105
587722982298812764,229.97141466,-0.67514694,19.040224,17.944632,17.50062,17.210583,17.002476,752,40,2,577,1.907129,4.790771,88323602759286784,2,0.037114,313,51673,287
587722982298943803,230.21584901,-0.7299546,18.414774,17.077599,16.307291,15.914375,15.621693,752,40,2,579,3.49604,6.868457,88323602771869696,2,0.111356,313,51673,290
587722982299074952,230.60308113,-0.73460393,18.148069,16.994438,16.430279,16.048351,15.835149,752,40,2,581,3.006746,7.502909,88323602633457664,2,0.066822,313,51673,257
587722982299271230,230.94628473,-0.63973321,17.536257,16.101292,15.294779,14.86786,14.528874,752,40,2,584,2.483176,8.536882,88323602507628544,2,0.037466,313,51673,227
587722982299271568,231.05381218,-0.69966514,19.323864,18.006613,17.369331,16.923706,16.633923,752,40,2,584,1.087732,2.482833,88323602482462720,2,0.052094,313,51673,221
587722982299337032,231.14204601,-0.71937778,19.556023,18.033621,17.081747,16.602613,16.186594,752,40,2,585,3.285322,7.01778,88323602100781056,2,0.114316,313,51673,130
587722982299337083,231.17519444,-0.81720242,19.444584,17.69829,16.75523,16.217106,15.774392,752,40,2,585,2.521967,6.133489,88323602096586752,2,0.052088,313,51673,129
587722982299402394,231.34866264,-0.70996443,18.07884,16.398146,15.461038,14.947659,14.527067,752,40,2,586,6.828438,15.036878,88323602092392448,2,0.038091,313,51673,128
587722982299533458,231.61748445,-0.63595512,18.250946,17.715656,17.310823,16.87664,16.76996,752,40,2,588,1.059372,3.126229,88323601958174720,3,0.123294,313,51673,96
587722982299664540,231.95114775,-0.74203327,17.721409,16.852978,16.4785,15.987608,15.945005,752,40,2,590,1.725364,4.056366,88323601639407616,2,0.082358,313,51673,20
587722982299730249,232.04272876,-0.81182831,18.989752,17.104244,16.075562,15.533529,15.104135,752,40,2,591,4.162006,10.325799,88323601559715840,2,0.08824,313,51673,1
587722982299730365,232.10222303,-0.69949968,19.376877,18.32439,17.80069,17.407818,17.198875,752,40,2,591,1.719245,3.890161,88323601622630400,2,0.077011,313,51673,16
587722982299926855,232.50744736,-0.77824611,19.306677,17.274895,16.287205,15.830797,15.480435,752,40,2,594,1.929173,5.97673,102398708615741440,2,0.082521,363,51989,242
587722982299992261,232.5744453,-0.78904051,19.58102,17.925713,17.053846,16.569731,16.208294,752,40,2,595,2.45996,5.916661,102398708682850304,2,0.079529,363,51989,258
587722982299992288,232.58937512,-0.74356998,19.204983,17.403862,16.439291,15.996511,15.652563,752,40,2,595,3.021169,8.703775,102398708670267392,2,0.074689,363,51989,255
587722982299992357,232.63874406,-0.80931771,18.067747,15.877247,14.794683,14.299157,13.896129,752,40,2,595,5.472303,17.446314,102398708498300928,2,0.076729,363,51989,214
587722982300057611,232.71478746,-0.6596176,18.976213,17.751362,17.151537,16.827335,16.66156,752,40,2,596,1.750234,5.36988,102398708598964224,2,0.028527,363,51989,238
587722982300058037,232.85671874,-0.82029491,19.069546,17.009012,15.945159,15.355413,14.837406,752,40,2,596,4.597444,13.325453,102398708494106624,2,0.06977,363,51989,213
587722982300058102,232.82639186,-0.71539577,18.974529,17.267357,16.563543,16.225445,15.927234,752,40,2,596,5.509644,9.221929,102398708515078144,2,0.070376,363,51989,218
587722982300123355,232.86425775,-0.62992255,19.582516,18.215946,17.412472,16.956047,16.680267,752,40,2,597,2.141317,4.839402,102398708359888896,2,0.157257,363,51989,181
587722982300123578,232.99456411,-0.71250564,18.947344,17.508183,16.811277,16.438435,16.109127,752,40,2,597,2.2785,6.208595,102398708162756608,2,0.037282,363,51989,134
587722982300188862,233.03260529,-0.68623964,19.258682,17.923302,17.246119,16.848488,16.568932,752,40,2,598,3.808364,7.596134,102398708313751552,2,0.083631,363,51989,170
587722982300188997,233.13814462,-0.75868312,19.301863,17.706627,16.909336,16.478853,16.12002,752,40,2,598,2.946647,8.186074,102398707994984448,2,0.083128,363,51989,94
587722982300189107,233.15165683,-0.80818157,18.81053,17.679176,17.180719,16.913977,16.744724,752,40,2,598,4.57811,10.015604,102398707986595840,2,0.037076,363,51989,92
587722982300254526,233.17290963,-0.6981823,18.7955,17.470249,16.845343,16.480621,16.230198,752,40,2,599,4.02251,7.808406,102398708099842048,2,0.077475,363,51989,119
587722982300385404,233.53770357,-0.74718341,18.918827,16.998152,15.910195,15.377492,14.91351,752,40,2,601,2.700139,8.03281,102398707839795200,2,0.039531,363,51989,57
587722982300385553,233.48865828,-0.81033102,19.372332,18.060709,17.212336,16.739388,16.418652,752,40,2,601,2.671404,6.529465,102398707835600896,2,0.121033,363,51989,56
587722982300516593,233.79045618,-0.66389192,18.145906,16.138174,15.076595,14.57298,14.182298,752,40,2,603,4.114917,12.786108,102398707860766720,2,0.066279,363,51989,62
587722982300516645,233.82024401,-0.790024,19.028671,17.821657,17.299036,16.949141,16.795591,752,40,2,603,3.320395,8.293174,102398707663634432,2,0.071655,363,51989,15
587722982300778885,234.47373161,-0.68958213,19.334576,17.438532,16.471727,16.033182,15.656901,752,40,2,607,2.015951,6.026845,88886509108723712,2,0.054322,315,51663,131
587722982300778927,234.49102436,-0.6513898,19.319176,18.25872,17.316902,16.826353,16.548473,752,40,2,607,1.268924,3.260786,88886509121306624,2,0.11712,315,51663,134
587722982300844287,234.52855691,-0.68025667,19.525518,17.536873,16.52507,16.088055,15.729337,752,40,2,608,2.184363,6.148583,88886509112918016,2,0.116787,315,51663,132
587722982300909965,234.70983573,-0.62963693,18.724831,17.21645,16.636072,16.293163,16.247528,752,40,2,609,7.179366,12.778379,88886509368770560,2,0.039208,315,51663,193
587722982301040948,235.04008143,-0.77755737,19.577175,17.638336,16.641785,16.144571,15.756086,752,40,2,611,2.083076,5.565753,88886508970311680,2,0.081637,315,51663,98
587722982301106484,235.17537962,-0.76386723,19.584974,17.696512,16.755697,16.30695,15.944716,752,40,2,612,2.054742,5.253674,88886508789956608,2,0.056539,315,51663,55
587722982301106497,235.18330225,-0.74824787,19.570152,18.103214,17.386852,16.987597,16.73716,752,40,2,612,3.369516,7.333573,88886508785762304,2,0.081101,315,51663,54
587722982301565299,236.28539261,-0.65895433,19.058222,17.03813,16.096136,15.642114,15.281848,752,40,2,619,4.728831,10.841393,96486454431055872,2,0.079655,342,51691,296
587722982301892898,236.9221289,-0.6858125,19.535986,18.694122,18.333656,17.984177,17.884539,752,40,2,624,1.316799,2.679623,96486453751578624,2,0.119482,342,51691,134
587722982302023974,237.24798894,-0.66236407,19.244169,17.53882,16.602535,16.117384,15.757662,752,40,2,626,2.990453,7.675159,96486453554446336,2,0.077774,342,51691,87
587722982302023999,237.2577169,-0.74257527,19.007313,17.84553,17.362577,17.063845,16.90918,752,40,2,626,3.725833,7.50674,96486453546057728,2,0.081722,342,51691,85
587722982302024012,237.26789666,-0.67317685,17.703003,16.426212,15.733622,15.271523,14.991207,752,40,2,626,3.536949,8.869922,96486453550252032,2,3.12006E-3,342,51691,86
587722982302285839,237.80330167,-0.69975958,19.420158,17.376207,16.262714,15.75622,15.36211,752,40,2,630,2.603221,8.813312,96767933681762304,2,0.113301,343,51692,291
587722982302482893,238.37072969,-0.65949828,19.168573,17.177305,16.185442,15.734812,15.362008,752,40,2,633,2.045479,6.346269,96767933589487616,2,0.061734,343,51692,269
