objid,ra,dec
588848898844197051,192.07045974,-0.85809704
588848898845704411,195.52606581,-0.84040004
588848898846228631,196.73951496,-1.01682214
588848899361734781,147.8062943,-0.48121744
588848899362783448,150.26849895,-0.54231184
588848899363504338,151.88668179,-0.55848731
588848899363766473,152.58499293,-0.48178454
588848899366387842,158.46399934,-0.56136365
588848899367501937,160.9913483,-0.50748112
588848899368091673,162.35360214,-0.42988109
588848899368288484,162.91347183,-0.58068204
588848899368353849,163.02824952,-0.560789
588848899370320074,167.48671224,-0.57423969
588848899371434098,169.97608114,-0.55575747
588848899375759552,179.84039759,-0.51224555
588848899376808130,182.26999115,-0.56820974
588848899376939166,182.55797738,-0.43657724
588848899381919759,193.90897867,-0.59065306
588848899382313129,194.92095089,-0.58532399
588848899383558276,197.66174783,-0.56149227
588848899900375236,151.93294444,-0.13918353
588848899900571763,152.35482494,-0.12974489
588848899900571817,152.28948804,-0.06307238
588848899901161611,153.64943586,-0.15525607
588848899901554939,154.65182798,-0.17807494
588848899901620286,154.74935688,-0.18252208
588848899901817028,155.24814938,-0.17608828
588848899902669043,157.22541327,-0.03739602
588848899902865432,157.55675602,-0.12257053
588848899904634968,161.71522661,-0.10854727
588848899905028344,162.58624575,-0.14839371
588848899905749145,164.16348371,-0.05460279
588848899907518622,168.19823788,-0.07454491
588848899908370638,170.2092154,-0.16880867
588848899912761460,180.13990365,-0.19345356
588848899915645172,186.86540569,-0.09400739
588848899916103908,187.81651178,-0.10809801
588848899916300430,188.31992554,-0.04337828
588848899917349086,190.74290241,-0.10333355
588848899917873457,191.93520204,-0.18129237
588848899920035974,196.79909387,-0.02468249
588848900436263079,149.61346146,0.3824765
588848900436852957,151.04548744,0.24537685
588848900436918347,151.17012814,0.36989977
588848900437311761,152.04725658,0.3372578
588848900438032532,153.67638447,0.24030737
588848900438294740,154.33476108,0.38474646
588848900438360264,154.47373961,0.32249931
588848900439474292,157.02794517,0.38773357
588848900441178418,160.96158767,0.22449506
588848900443472071,166.15135011,0.34639834
588848900444848221,169.2052204,0.27850895
588848900445307087,170.36688883,0.26600655
588848900446159065,172.33677406,0.39602011
588848900449566871,180.00000646,0.41488624
588848900450681038,182.65745261,0.21163867
588848900451008640,183.34100614,0.24488095
588848900451467384,184.3997094,0.39664424
588848900453171318,188.25799294,0.35172822
588848900454613202,191.63900236,0.23763911
588848900454613224,191.64160089,0.41800329
588848900454678812,191.71955548,0.23120295
588848900454744223,191.80774776,0.34063713
588848900455268467,193.00417636,0.27753075
588848900456972458,197.01909628,0.24065469
588848900704043222,148.15676438,0.30884591
588848900973134017,149.66665491,0.73590815
588848900973265025,149.89501994,0.66300196
588848900973330694,150.193561,0.78263575
588848900973461703,150.48145046,0.683923
588848900973854841,151.26589607,0.7432176
588848900975755467,155.70142467,0.77181139
588848900976541829,157.38976428,0.6642291
588848900977983494,160.67573614,0.68013483
588848900978245718,161.32193667,0.64721558
