agcnum,radeg,decdeg,vhel,sepmin
226357,186.8033, 7.6392, 1179,305.1937
220603,186.8233, 7.6706, 1846,303.3526
  7565,186.8425,10.8664,  924,112.0676
220606,186.8533,13.7164,  340, 60.9646
  7566,186.8596, 6.2631, 1449,387.8262
  7567,186.8712, 7.6433,  870,305.1016
220609,186.8754, 9.3411, 1714,203.4106
220616,186.8892,10.0039,  872,163.8354
  7574,186.9408,13.0089,  104, 24.8262
  7579,186.9804, 5.7211, 2247,420.6133
  7587,187.0662, 9.4361,  353,198.8483
  7590,187.0783, 8.7292, 1120,241.0567
223691,187.1133, 6.9458,  879,347.7853
  7596,187.1417, 8.6394,  565,246.8339
  7600,187.1692, 9.2586,  858,210.2389
  7602,187.1800,14.9992, 1668,140.2241
220645,187.2287, 9.4208, 1088,201.2002
222021,187.2312, 8.8169, 1306,236.9914
220661,187.3442, 9.9883,  777,169.3136
  7622,187.3671, 8.7500,  539,242.2638
  7621,187.3708, 6.7706,  525,359.7921
  7626,187.3775, 7.6961,  759,304.7897
223724,187.3900,13.1961, 1215, 52.5344
220667,187.3979,10.7936,  -33,124.1552
  7627,187.4071, 7.8231, 2339,297.5160
226159,187.4283, 9.6983,  524,187.4033
227874,187.4779, 7.9700,  473,289.4949
227861,187.4979, 8.4317,  609,262.4708
226160,187.5808, 9.5883,  603,196.1627
226161,187.6075, 9.4669,  488,203.5958
223771,187.6346,10.2608, 1101,159.0115
224281,187.6750, 5.8786, 2332,415.2575
227967,187.6867, 5.8222, 2346,418.7065
220704,187.7021,12.0450, 1227, 74.6513
  7656,187.7488, 8.0775, 1740,286.3836
220725,187.8292, 9.4636,  607,207.8350
220724,187.8454,11.4925, 1252,102.4756
226163,187.8612, 9.3144,  480,216.9054
  7666,187.9075,14.8594, 2560,148.1138
  7676,187.9783,15.1233, 2096,163.9208
  7675,187.9971,14.4200, 2282,129.1786
220739,188.0238,11.8178,  909, 97.9223
227984,188.0342, 5.8364, 1838,421.4222
220745,188.0950,16.0186, -134,215.1937
227901,188.0992, 5.9103, 1830,417.8558
220751,188.1396, 9.1736, 1155,230.6875
227985,188.1521, 6.0161, 1799,412.3143
  7695,188.1746,14.0503, -170,120.1158
220755,188.1958, 7.7994, 1325,309.4612
227903,188.2850, 5.8631, 1917,423.0325
220768,188.2913,11.3469,  128,127.5684
  7709,188.3763, 8.6542, 1216,264.8514
227895,188.3883, 6.0497, 1872,413.6293
227904,188.4038, 6.4453, 1804,390.9297
226164,188.4067, 8.2800,  221,286.3486
  7711,188.4154, 9.1750, 2329,237.3312
  7713,188.4504,15.1689,  258,180.8930
  7716,188.4863,15.3544, 2349,191.1803
223873,188.5063, 5.9528,  648,421.0471
  7718,188.5129, 7.6992,  560,321.1870
227902,188.5275, 8.4783,  231,278.0753
229047,188.5592, 8.3606,  212,285.3074
  7726,188.5813, 6.4672, 2013,392.6091
  7727,188.5846, 8.1975, 1963,294.9010
  7733,188.6283, 9.1547,  439,244.2032
220799,188.6325,13.5036,  838,125.8234
226165,188.6412, 8.3964,  201,285.3076
  7736,188.6646, 7.1586,  593,354.7585
  7739,188.6871, 6.3000, 2041,404.0557
226118,188.6888,12.7803,  785,120.2932
  7737,188.6912,15.2203,  664,191.8232
  7742,188.7117,15.5511, 1288,208.3340
220812,188.7537, 9.1861, 1269,246.2126
225874,188.7833,12.5042, 1692,126.5296
220815,188.8075,10.4317, 1072,187.6699
  7753,188.8604,14.4958,  479,167.8385
220819,188.8787, 6.3339, 1600,405.6816
220828,188.9662,13.8583,  756,152.2705
223913,189.0117, 7.2000,  972,359.9152
220832,189.0442, 9.9225, 2053,219.8530
  7777,189.1363,11.2575, 2247,171.1668
220837,189.1454, 8.0547, 1790,316.8725
  7781,189.1567, 6.6203, 1072,395.3681
  7784,189.1817,13.2592, 1120,152.3806
  7786,189.2083,13.1625, -221,152.8276
  7788,189.2350,14.2169,  340,176.2566
  7790,189.2629, 6.9264, 1632,380.9145
220849,189.4217, 8.5592, 1076,299.0377
  7796,189.4312,11.8181, 1517,172.7525
  7795,189.4388, 7.1039,   55,375.6650
229344,189.4937, 7.8136,  154,339.4907
220856,189.5283,10.1650, 1141,229.1747
220860,189.5646, 6.9944, -113,384.8674
220863,189.5658,14.8697,  741,213.9401
  7803,189.5746,13.1100, 1748,173.5298
  7802,189.5871, 7.8908, 1784,338.2734
224219,189.6708,11.9786, 1019,183.5084
225847,189.7371,13.5517,  982,188.0024
  7817,189.7667,13.3631, 2737,187.0918
  7821,189.8017, 6.0122, 2425,444.1241
  7822,189.8525, 7.9644, 2077,342.9048
  7826,189.9667,15.2975,  630,247.9782
220901,189.9937,13.7814, 1005,206.2318
