agcnum,radeg,decdeg,distMpc,Vcmb,logL_V,logMH,gas2L_V,AbsMag_i,logL_i,gas2L_i
  7536,186.6492,  3.965, 24.2, 2637., 9.57, 8.71,-0.8589,-19.53, 9.6453,-0.9353
220602,186.8163,  4.263, 24.2, 1964., 8.44, 7.77,-0.6721,-16.57, 8.4604,-0.6904
732129,186.8550, 27.840, 19.9, 1336., 7.72, 7.73, 0.0058,-14.58, 7.6647, 0.0653
732134,187.0533, 25.089, 23.8, 1617., 8.16, 8.24, 0.0773,-15.59, 8.0698, 0.1702
749238,187.3704, 27.614, 15.8, 1258., 6.38, 7.56, 1.1758,-11.30, 6.3522, 1.2078
  7647,187.6117,  4.246, 40.0, 2777.,10.22, 9.63,-0.5874,-21.07,10.2605,-0.6305
724906,187.7333, 26.511, 11.6, 1214., 7.24, 7.40, 0.1555,-13.42, 7.2013, 0.1987
  7668,187.9117,  3.939, 14.5, 2071., 9.04, 9.33, 0.2868,-18.08, 9.0626, 0.2674
223819,187.9746,  5.172, 16.5, 2646., 7.03, 7.39, 0.3605,-12.24, 6.7284, 0.6616
220762,188.2396,  4.577, 16.6, 1566., 7.14, 8.31, 1.1669,-13.22, 7.1207, 1.1893
220780,188.3733,  3.794, 16.6, 1255., 8.27, 7.88,-0.3864,-16.13, 8.2831,-0.4031
742455,188.4221, 23.987, 24.0, 1619., 7.31, 8.63, 1.3163,-14.50, 7.6301, 0.9999
222310,188.7600,  5.425, 16.5, 1201., 8.25, 7.65,-0.5989,-16.20, 8.3128,-0.6628
732179,188.8379, 27.563, 21.9, 1465., 7.84, 7.98, 0.1444,-14.86, 7.7759, 0.2041
224516,188.8517,  5.048, 29.1, 2141., 8.29, 7.96,-0.3344,-16.10, 8.2736,-0.3136
  7758,188.8938, 25.849, 24.2, 1640., 9.40, 8.93,-0.4692,-18.93, 9.4031,-0.4731
  7766,188.9904, 27.959, 10.3, 1094., 9.52, 9.83, 0.3084,-19.28, 9.5454, 0.2846
  7772,189.0875, 25.987, 13.4, 1511., 8.92,10.04, 1.1217,-18.69, 9.3062, 0.7338
222314,189.3708,  4.750, 27.2, 1974., 8.12, 8.38, 0.2575,-15.62, 8.0808, 0.2992
  7794,189.4521,  5.368, 16.5, 1373., 9.61, 7.57,-2.0352,-19.74, 9.7291,-2.1591
732194,189.4925, 24.044, 24.8, 1689., 7.84, 8.14, 0.2989,-14.76, 7.7365, 0.4035
  7804,189.6179,  4.319, 16.6, 1126., 9.69, 8.00,-1.6925,-20.02, 9.8403,-1.8403
220883,189.8412,  4.937, 16.5, 1946., 8.45, 8.02,-0.4277,-16.66, 8.4945,-0.4745
749241,190.0071, 26.322,  5.6,  734., 5.94, 6.75, 0.8069, -9.15, 5.4904, 1.2596
732226,190.2021, 25.944, 23.8, 1601., 7.59, 7.93, 0.3393,-13.87, 7.3801, 0.5499
229001,190.2058, 27.564, 21.3, 1409., 7.98, 7.60,-0.3801,-15.20, 7.9101,-0.3101
220939,190.5771,  5.739, 16.5, 1303., 7.79, 8.14, 0.3493,-14.63, 7.6839, 0.4561
  7871,190.6300,  3.960, 16.6, 1074., 9.19, 8.69,-0.4982,-18.62, 9.2791,-0.5891
732245,190.7746, 24.451, 30.0, 2113., 8.72, 9.06, 0.3356,-17.23, 8.7246, 0.3354
732250,190.8508, 24.525, 22.5, 1481., 8.05, 7.95,-0.1034,-15.31, 7.9579,-0.0079
224296,190.8450,  5.765, 15.6, 2083., 7.44, 7.60, 0.1556,-13.91, 7.3956, 0.2044
227896,191.0871,  6.089, 16.6, 1619., 7.81, 7.87, 0.0591,-14.85, 7.7733, 0.0967
732257,191.1037, 24.904, 29.9, 2102., 8.24, 8.71, 0.4739,-15.78, 8.1425, 0.5675
